GeneId,HC_RNA_S153,IBM-Neg_S152,IBM-Pos_S151,UT_RNA_S154
AC007881.2,0,0,0,0
NAGK,4944,5601,6890,1958
AC007881.3,0,0,20,0
MCEE,14,260,512,0
MPHOSPH10,755,1069,683,70
PAIP2B,5,1,19,0
ZNF638,634,1677,763,331
AC007878.1,36,52,0,0
DYSF,683,11,88,16
CYP26B1,340,268,43,5
EXOC6B,532,1448,2787,52
SPR,1398,850,724,8
EMX1,0,0,0,0
AC012366.1,0,0,0,0
SFXN5,383,175,743,1140
RAB11FIP5,3254,2994,3479,115
NOTO,0,0,0,0
SMYD5,11,235,9,1
PRADC1,1896,1454,1732,2425
CCT7,6737,6972,9504,3205
FBXO41,1,0,0,0
EGR4,0,0,0,0
ALMS1,285,549,510,394
NAT8,0,0,0,0
TPRKB,234,800,1647,292
AC092653.1,1,0,0,0
DUSP11,888,1425,1593,2989
C2orf78,0,0,0,0
STAMBP,228,480,178,312
ACTG2,0,0,0,0
DGUOK,548,1426,1313,303
DGUOK-AS1,0,0,0,0
AC073046.1,0,0,0,0
TET3,0,16,9,1
AC073263.1,0,0,0,0
BOLA3,4695,4507,3845,2084
BOLA3-AS1,619,10,14,0
MOB1A,11218,9432,6742,6448
AC073263.2,0,0,0,0
MTHFD2,5179,3704,7078,1200
AC006030.1,0,0,0,0
SLC4A5,0,1,0,0
DCTN1,3482,3182,3191,1506
DCTN1-AS1,39,10,0,0
AC005041.1,1,0,0,0
C2orf81,0,0,0,0
WDR54,1,854,535,8
RTKN,31,9,5,2
INO80B,118,5,0,0
INO80B-WBP1,0,0,0,0
WBP1,5,2,29,0
MOGS,1152,807,2441,1012
MRPL53,5,17,27,1373
CCDC142,15,28,293,0
TTC31,13,260,509,32
LBX2,0,0,0,0
AC005041.3,0,9,1,0
LBX2-AS1,0,2,2,0
PCGF1,221,602,391,38
TLX2,0,0,0,0
DQX1,0,0,0,0
AUP1,464,529,1201,1154
HTRA2,0,23,6,0
LOXL3,15275,11129,17452,2888
DOK1,1230,1311,1336,814
M1AP,0,0,0,0
SEMA4F,1624,1124,706,1962
AC019069.1,37,58,3,166
HK2,3355,1008,3118,2807
LINC01291,0,0,0,0
AC104135.1,0,0,1,1
LINC01293,0,0,0,0
POLE4,4756,5536,4121,525
TACR1,0,0,0,0
AC007681.1,0,0,0,0
EVA1A,8,183,97,0
AC007099.2,0,0,0,0
AC007099.1,0,0,4,0
MRPL19,1088,960,651,960
GCFC2,290,442,233,372
AC005034.3,1,35,1276,8
AC005034.2,0,0,0,0
AC005034.4,0,0,148,0
LRRTM4,0,0,0,0
AC079117.1,0,0,0,0
AC084149.1,0,0,0,0
AC084149.2,0,0,0,0
LINC01851,0,0,0,0
AC012494.1,0,0,0,0
AC092660.1,0,0,0,0
REG3G,0,0,0,0
REG1B,0,0,0,0
REG1A,0,0,0,0
REG3A,0,0,0,0
CTNNA2,0,0,0,0
AC010975.1,0,0,0,0
AC016716.2,0,0,0,0
LRRTM1,0,0,0,0
AC008067.1,0,0,0,0
AC012355.1,0,0,0,0
LINC01815,0,0,0,0
AC079896.1,0,0,0,0
AC010105.1,0,0,0,0
LINC01809,0,0,0,0
AC106874.1,0,0,0,0
SUCLG1,1550,2043,1488,490
DNAH6,0,0,0,0
TRABD2A,0,331,5,0
TMSB10,62595,77844,72052,73060
KCMF1,2315,1858,1389,452
LINC01964,0,0,0,0
TCF7L1,7,42,143,2
TGOLN2,24486,11976,19065,7339
RETSAT,2765,1081,2628,824
ELMOD3,648,107,110,0
AC062037.2,0,0,0,0
CAPG,433,2472,2138,1954
SH2D6,0,0,0,0
MAT2A,4598,3597,6816,2363
GGCX,1369,1878,2960,668
VAMP8,100,110,56,559
VAMP5,1937,1486,720,1313
RNF181,2229,2876,2192,1890
TMEM150A,150,98,286,253
USP39,1505,2770,2181,1820
C2orf68,13647,10071,13567,13902
SFTPB,0,0,0,0
GNLY,0,0,0,0
ATOH8,378,485,115,1
AC105053.1,0,0,0,0
ST3GAL5,268,1451,949,726
ST3GAL5-AS1,0,0,0,0
AC012511.1,0,0,0,0
POLR1A,2206,1847,2288,2447
PTCD3,2687,2020,2601,13
IMMT,3800,2028,2065,2871
AC009309.1,0,0,0,0
MRPL35,1278,570,312,117
REEP1,0,433,282,71
KDM3A,1327,572,448,239
CHMP3,1733,7160,9476,4017
RNF103-CHMP3,0,0,0,0
AC015971.1,0,1,0,3
RNF103,1284,1547,869,37
RMND5A,4002,3857,4490,1510
CD8A,0,0,0,0
CD8B,0,0,0,0
RGPD1,0,0,0,0
PLGLB1,0,21,0,0
LINC01955,0,0,0,0
IGKV3OR2-268,0,0,0,0
LINC01943,15,485,1,813
CYTOR,8071,10110,12601,8096
AC133644.2,0,0,0,0
PLGLB2,0,0,0,0
RGPD2,0,2,0,0
KRCC1,753,1019,176,669
SMYD1,11,42,90,0
FABP1,0,0,0,0
THNSL2,110,200,1461,2489
FOXI3,0,3,1,0
TEX37,0,0,0,0
AC104134.1,0,0,0,0
EIF2AK3,925,323,525,1829
AC062029.1,0,0,0,0
RPIA,3299,1238,1275,1483
IGKC,0,0,0,0
IGKJ5,0,0,0,0
IGKJ4,0,0,0,0
IGKJ3,0,0,0,0
IGKJ2,0,0,0,0
IGKJ1,0,0,0,0
IGKV4-1,0,0,0,0
IGKV5-2,0,0,0,0
IGKV7-3,0,0,0,0
IGKV2-4,0,0,0,0
IGKV1-5,0,0,0,1
IGKV1-6,0,0,0,0
IGKV3-7,0,0,0,0
IGKV1-8,0,0,0,0
IGKV1-9,0,0,0,0
IGKV2-10,0,0,0,0
IGKV3-11,0,0,0,0
IGKV1-12,0,0,0,0
IGKV1-13,0,0,0,0
IGKV2-14,0,0,0,0
IGKV3-15,0,0,0,0
IGKV1-16,0,0,0,0
IGKV1-17,0,0,0,0
IGKV2-18,0,0,0,0
IGKV2-19,0,0,0,0
IGKV3-20,0,0,0,0
IGKV6-21,0,0,0,0
IGKV1-22,0,0,0,0
IGKV2-23,0,0,0,0
IGKV2-24,0,0,0,0
IGKV3-25,0,0,0,0
IGKV2-26,0,0,0,0
IGKV1-27,0,0,0,0
IGKV2-28,0,0,0,0
IGKV2-29,0,0,0,0
IGKV2-30,0,0,0,0
IGKV3-31,0,0,0,0
IGKV1-32,0,0,0,0
IGKV1-33,0,0,0,0
IGKV3-34,0,0,0,0
IGKV1-35,0,0,0,0
IGKV2-36,0,0,0,0
IGKV1-37,0,0,0,0
IGKV2-38,0,0,0,0
IGKV1-39,0,0,0,0
IGKV2-40,0,0,0,0
IGKV2D-40,0,0,0,0
IGKV1D-39,0,0,0,0
IGKV2D-38,0,0,0,0
IGKV1D-37,0,0,0,0
IGKV2D-36,0,0,0,0
IGKV1D-35,0,0,0,0
IGKV3D-34,0,0,0,0
IGKV1D-33,0,0,0,0
IGKV1D-32,0,0,0,0
IGKV3D-31,0,0,0,0
IGKV2D-30,0,0,0,0
IGKV2D-29,0,0,0,0
IGKV2D-28,0,0,0,0
IGKV1D-27,0,0,0,0
IGKV2D-26,0,0,0,0
IGKV3D-25,0,0,0,0
IGKV2D-24,0,0,0,0
IGKV2D-23,0,0,0,0
IGKV1D-22,0,0,0,0
IGKV6D-21,0,0,0,0
IGKV3D-20,0,0,0,0
IGKV2D-19,0,0,0,0
IGKV2D-18,0,0,0,0
IGKV6D-41,0,0,0,0
IGKV1D-17,0,0,0,0
IGKV1D-16,0,0,0,0
IGKV3D-15,0,0,0,0
IGKV2D-14,0,0,0,0
IGKV1D-13,0,0,0,0
IGKV1D-12,0,0,0,0
IGKV3D-11,0,0,0,0
IGKV2D-10,0,0,0,0
IGKV1D-42,0,0,0,0
IGKV1D-43,0,0,0,0
IGKV1D-8,0,0,0,0
IGKV3D-7,0,0,0,0
IGKV1OR2-118,0,0,0,0
AC233263.6,0,0,0,0
AC233266.2,0,0,2,0
IGKV1OR2-1,0,0,0,0
AL845331.2,0,0,0,0
ANKRD20A8P,0,0,0,0
TEKT4,0,1,0,0
AC103563.7,0,0,0,0
MAL,7,74,0,0
AC103563.2,0,0,0,0
MRPS5,460,1347,965,2277
ZNF514,292,468,78,44
ZNF2,0,76,741,0
AC092835.1,0,9,0,1
PROM2,0,1,2,0
KCNIP3,0,5,0,0
FAHD2A,26,306,147,309
TRIM43B,0,0,0,0
AC009237.14,2,2,0,64
AC009237.15,0,0,0,0
TRIM43,0,0,0,0
AC008268.1,0,0,0,0
LINC00342,427,100,16,461
ANKRD36C,135,202,390,0
GPAT2,1,68,135,470
ADRA2B,0,0,0,0
ASTL,0,0,0,0
DUSP2,128,597,1,473
AC012307.1,0,0,0,0
STARD7,9074,5218,5811,3071
TMEM127,5633,4678,5087,3737
CIAO1,105,2269,2277,609
SNRNP200,5413,2113,2350,1467
AC021188.1,0,0,0,0
ITPRIPL1,0,0,7,1
NCAPH,0,46,5,0
NEURL3,0,0,0,0
AC013270.1,0,0,0,0
ARID5A,0,21,26,5
KANSL3,2420,814,1491,978
FER1L5,2,0,0,0
LMAN2L,5,848,875,0
CNNM4,9,64,3,0
CNNM3-DT,15,0,0,0
CNNM3,67,199,517,176
ANKRD23,0,5,0,0
ANKRD39,453,987,1814,1581
SEMA4C,1349,316,1144,228
FAM178B,0,0,0,0
IGKV2OR2-1,0,0,0,0
IGKV2OR2-2,0,0,0,0
IGKV1OR2-3,0,0,0,0
FAHD2B,0,10,172,0
ANKRD36,7,43,24,9
AC159540.2,0,0,3,0
AC159540.1,0,0,0,0
IGKV1OR2-9,0,0,0,0
IGKV2OR2-10,0,0,0,0
IGKV2OR2-7D,0,0,0,0
IGKV3OR2-5,0,0,0,0
IGKV1OR2-6,0,0,0,0
IGKV2OR2-7,0,0,0,0
IGKV2OR2-8,0,0,0,0
IGKV1OR2-11,0,0,0,0
AC092683.1,0,0,0,0
AC092683.2,0,0,0,0
ANKRD36B,3,52,0,0
COX5B,22369,20391,15642,16084
ACTR1B,2157,1573,2445,4698
C2orf92,1,8,0,44
ZAP70,0,0,0,0
TMEM131,4412,949,2260,454
VWA3B,0,0,0,0
AC092675.1,0,0,0,0
CNGA3,0,1,0,0
INPP4A,1174,538,1191,121
COA5,2,819,764,573
UNC50,3553,4882,8502,2481
MGAT4A,0,2,0,0
AC109826.1,0,0,0,0
KIAA1211L,0,0,0,0
TSGA10,699,63,9,0
C2orf15,0,0,0,0
AC079447.1,0,0,0,0
LIPT1,0,751,362,0
AC092587.1,0,0,0,0
MITD1,32,95,29,11
MRPL30,744,1104,908,0
LYG2,0,0,0,0
LYG1,376,1,109,0
TXNDC9,1564,5855,6134,8876
EIF5B,1234,1126,2362,109
REV1,1209,517,1812,294
AC018690.1,0,0,0,0
AFF3,0,76,348,0
AC092667.1,0,0,0,0
LINC01104,0,0,0,0
LONRF2,0,1,1,0
CHST10,0,42,0,0
NMS,0,0,0,0
PDCL3,2514,2059,2492,3288
LINC01849,0,0,0,0
LINC01868,0,0,0,0
AC092168.1,0,0,0,0
NPAS2,1061,890,1457,1538
AC016738.2,0,19,0,0
AC016738.1,0,1,0,0
RPL31,34381,40376,38399,31105
TBC1D8,681,200,704,1
TBC1D8-AS1,0,0,0,0
CNOT11,1590,837,688,1288
RNF149,541,1375,1677,393
CREG2,632,78,0,0
RFX8,24,67,278,9
LINC01870,0,0,0,0
MAP4K4,37387,25399,31862,9463
LINC01127,0,0,0,0
IL1R2,0,0,12,0
IL1R1,12009,7810,8295,2198
AC007271.1,0,0,0,0
IL1RL2,9,81,91,0
IL1RL1,16,51,0,0
IL18R1,35,69,4,0
IL18RAP,0,0,0,0
SLC9A4,2,0,0,0
SLC9A2,0,0,0,0
MFSD9,15,92,7,1
TMEM182,0,301,473,0
LINC01796,0,0,0,0
LINC01935,0,0,0,0
AC108051.1,0,0,0,0
AC073987.1,0,0,0,0
AC013727.1,0,0,0,0
AC013727.2,0,0,0,0
LINC01965,0,1,0,0
AC096554.1,0,0,0,0
AC068535.1,0,0,0,0
LINC01831,0,0,0,0
LINC01102,0,0,0,0
LINC01103,0,0,0,0
AC013402.2,0,0,0,0
AC013402.3,0,0,0,0
AC013402.1,0,0,0,0
AC068057.1,0,0,0,0
LINC01114,0,0,0,0
POU3F3,0,0,0,0
AC018730.1,0,0,0,0
AC010884.1,0,0,0,0
MRPS9,50,95,202,0
AC104655.1,0,0,0,0
LINC01918,0,0,0,0
GPR45,0,0,0,0
AC012360.2,4,0,8,0
TGFBRAP1,1369,759,1311,16
AC012360.1,0,0,0,7
AC012360.3,74,2,31,0
C2orf49,8,338,290,351
FHL2,11399,14179,11744,7396
AC108058.1,22,33,349,754
NCK2,2357,1754,1785,3591
AC010978.1,0,0,23,0
AC009505.1,0,0,0,0
C2orf40,0,0,0,0
UXS1,256,149,1407,33
AC018878.1,0,0,0,0
RGPD3,2,8,0,30
CD8B2,0,0,0,0
AC108868.1,0,0,0,0
ST6GAL2,0,0,0,0
AC016994.1,0,0,0,0
LINC01789,0,0,0,0
AC096669.1,0,0,0,0
LINC01885,0,0,0,0
LINC01886,0,0,0,0
GACAT1,0,0,0,0
RGPD4-AS1,0,0,0,7
RGPD4,0,0,0,0
SLC5A7,0,0,0,0
LINC01593,0,0,0,0
LINC01594,0,0,0,0
SULT1C3,0,0,0,0
SULT1C2,0,8,59,0
SULT1C4,0,43,0,0
GCC2,1862,1334,2075,5755
GCC2-AS1,0,11,0,0
LIMS1,35439,27682,29212,21601
LIMS1-AS1,4,1,0,0
RANBP2,4276,3695,4729,4552
CCDC138,110,3,32,0
EDAR,0,0,0,0
SH3RF3-AS1,0,0,0,0
SH3RF3,373,702,385,715
SEPT10,3536,2006,3025,473
SOWAHC,19,1401,366,89
AC074387.1,0,0,0,0
RGPD5,291,9,65,61
LIMS3,0,0,0,0
AC013271.1,0,1,1,0
LINC01123,0,20,0,0
MALL,6,1,8,0
NPHP1,0,23,23,0
SMIM37,1647,1481,1613,603
LINC01106,15,18,71,33
AC112229.3,0,0,0,0
LIMS4,0,0,0,1
AC112229.2,0,0,0,0
RGPD6,0,1,1,1
AC226101.1,0,0,0,0
BUB1,1,37,155,0
AC114776.1,0,0,0,0
ACOXL,0,0,0,0
MIR4435-2HG,3966,3785,4009,2820
ACOXL-AS1,0,0,0,0
BCL2L11,21,1034,1188,2840
AC108463.2,0,0,0,0
AC108463.3,0,0,281,0
AC068491.2,0,0,0,0
AC068491.3,0,0,0,0
AC017002.5,0,0,0,0
AC017002.3,0,5,0,0
AC017002.1,0,8,0,0
AC017002.2,0,0,0,0
ANAPC1,529,507,312,1034
MERTK,0,0,0,0
TMEM87B,666,805,767,1565
FBLN7,136,231,274,233
ZC3H8,716,399,269,661
ZC3H6,90,126,230,0
RGPD8,1,21,71,157
TTL,3015,5723,4405,3973
POLR1B,24,178,764,118
CHCHD5,1,10,9,0
AC012442.1,0,0,0,0
AC079922.2,0,159,174,0
SLC20A1,5730,3030,6761,2649
NT5DC4,0,0,0,0
CKAP2L,1055,468,481,1
IL1A,357,4,2,1
IL1B,0,34,5,16
IL37,0,0,0,0
IL36G,0,0,0,0
IL36A,0,0,0,0
IL36B,0,0,0,0
IL36RN,0,0,0,0
IL1F10,0,0,0,0
IL1RN,390,1212,552,461
PSD4,12,927,146,105
AC016683.1,0,0,0,0
PAX8,0,7,164,0
IGKV1OR2-108,0,0,3,0
AC016745.1,0,40,0,0
AC016745.2,0,0,5,0
CBWD2,4152,830,1934,623
FOXD4L1,0,0,0,0
LINC01961,0,0,0,0
PGM5P4-AS1,0,0,0,0
FAM138B,0,0,0,0
RABL2A,120,9,4,4
AC017074.2,0,0,0,0
AC017074.1,0,0,0,0
SLC35F5,6453,7333,7495,3634
AC104653.2,0,0,0,0
AC104653.1,0,59,327,3
AC110769.2,0,0,0,0
ACTR3,10155,11733,13121,8515
LINC01191,0,0,0,0
AC110769.1,206,0,82,0
AC010982.1,0,0,0,0
DPP10,0,0,0,0
DPP10-AS3,0,0,0,0
DPP10-AS2,0,0,0,0
DPP10-AS1,0,0,0,0
AC009312.1,0,0,0,0
DDX18,1754,2328,5229,1796
AC009404.1,11,54,4,0
CCDC93,278,1065,655,404
AC009303.2,1,0,13,0
AC009303.3,0,0,0,0
INSIG2,5689,2511,3940,1934
AC093901.1,0,30,0,0
LINC01956,1,0,0,316
EN1,4,62,4,0
MARCO,0,0,0,0
AC013457.1,0,0,0,0
C1QL2,0,0,0,0
STEAP3,11513,5305,6781,12051
STEAP3-AS1,0,1,0,0
C2orf76,31,315,299,816
DBI,1951,2107,2155,477
TMEM37,101,0,0,34
SCTR,0,0,0,0
AC013275.1,0,0,0,0
CFAP221,0,0,0,0
TMEM177,1150,51,65,0
PTPN4,1235,1258,375,19
EPB41L5,435,779,714,1
AC012363.1,0,0,0,0
TMEM185B,1146,178,661,201
RALB,920,990,1092,299
AC012363.2,0,0,0,0
INHBB,0,11,0,0
AC073257.2,0,0,0,0
AC073257.1,0,0,0,0
AC018866.1,0,0,0,0
GLI2,216,92,338,1
AC017033.1,0,0,0,0
AC067960.1,0,0,0,0
AC079988.1,0,0,0,0
TFCP2L1,0,0,0,0
CLASP1,369,888,598,222
AC012447.1,0,0,0,0
NIFK-AS1,0,16,10,0
NIFK,500,1697,2264,1325
TSN,10056,4349,5003,3832
LINC01823,0,0,0,0
AC062020.1,0,0,0,0
LINC01826,0,0,0,0
AC073409.1,0,0,0,0
AC079154.1,0,0,0,0
CNTNAP5,0,0,0,0
LINC01889,0,0,0,0
LINC01941,0,0,0,0
AC023347.1,0,0,0,0
GYPC,304,133,38,290
TEX51,0,0,0,0
AC012508.2,0,0,0,0
AC012508.1,0,0,0,0
BIN1,2607,4238,3764,5364
CYP27C1,60,11,230,0
ERCC3,4984,1201,1280,1028
MAP3K2,2024,3170,2455,5391
AC068282.1,7,406,183,0
PROC,0,0,0,0
IWS1,1626,771,935,273
AC010976.1,0,1,0,0
MYO7B,1,2,59,0
AC010976.2,0,0,0,0
LIMS2,215,281,128,2
GPR17,0,0,0,0
WDR33,2359,1159,2278,1609
SFT2D3,0,0,0,0
POLR2D,779,1264,830,252
AMMECR1L,757,751,2182,948
AC012306.2,1,100,187,1
SAP130,85,629,392,46
UGGT1,3367,2089,4087,2497
HS6ST1,1759,325,1468,219
AC012451.1,0,0,0,0
AC068483.1,0,0,0,0
LINC01854,0,0,0,0
LINC02572,0,0,0,0
LINC01856,0,0,2,0
RAB6C,0,0,0,0
POTEF,0,0,0,0
AC018865.1,0,0,0,0
CCDC74B,0,0,297,1
SMPD4,1117,712,1201,62
MZT2B,5733,8221,7893,5189
TUBA3E,0,0,0,0
CCDC115,5711,4278,3484,1
IMP4,2365,1790,2161,3308
PTPN18,234,246,315,185
POTEI,0,0,0,0
AC013269.2,0,0,0,0
CFC1B,0,0,0,0
AC013269.1,0,0,0,0
PRSS40B,0,0,0,0
PRSS40A,0,8,0,0
AC140481.2,0,0,0,0
CFC1,0,0,0,0
POTEJ,0,0,0,0
GPR148,0,0,0,0
AC140481.1,0,0,0,0
AMER3,1,0,0,0
AC133785.1,0,0,0,0
ARHGEF4,92,47,75,0
AC009477.2,0,0,0,0
FAM168B,13033,11083,10947,11724
PLEKHB2,3662,4169,4689,3582
POTEE,0,0,0,0
RAB6D,0,0,0,0
AC073869.5,0,0,0,0
LINC01120,0,0,0,0
AC073869.3,0,0,0,0
MZT2A,2715,2913,2335,925
TUBA3D,0,0,0,0
CCDC74A,0,197,31,458
LINC01087,0,0,0,0
C2orf27B,0,0,0,0
AC103564.1,0,0,0,0
AJ239322.2,0,0,0,0
AJ239322.1,0,0,0,0
LINC01945,0,0,0,0
ANKRD30BL,0,0,0,0
AC097532.1,0,0,0,0
AC097532.2,0,0,0,0
GPR39,0,16,1,0
LYPD1,0,9,0,0
AC010974.1,0,0,0,0
NCKAP5,23,3,110,1
AC016909.2,0,0,0,0
AC010890.1,0,0,0,0
AC011243.1,0,0,0,0
MGAT5,5763,4212,4050,1431
TMEM163,1,0,0,0
CCNT2-AS1,0,17,8,0
ACMSD,0,0,0,0
CCNT2,346,658,1659,1265
MAP3K19,0,0,0,0
RAB3GAP1,572,681,485,621
ZRANB3,301,48,1348,0
R3HDM1,2065,574,837,1268
UBXN4,2997,3487,1954,1401
LCT,0,0,0,0
AC011893.1,0,0,0,0
MCM6,2555,3285,2375,1347
DARS,5100,4091,4411,2424
DARS-AS1,236,151,57,0
AC068492.1,0,0,0,0
CXCR4,1,31,12,210
THSD7B,0,0,0,0
HNMT,227,413,1970,1110
LINC01832,0,0,0,0
AC114763.1,0,0,0,0
AC114763.2,0,0,0,0
SPOPL,167,403,1214,28
AC092620.3,0,0,0,0
AC092620.1,0,0,0,0
NXPH2,0,0,0,0
AC062021.1,0,0,0,0
AC016710.1,0,0,0,0
AC078851.1,0,0,0,0
LINC01853,0,0,0,0
LRP1B,8,0,0,0
KYNU,0,69,286,0
ARHGAP15,0,0,0,0
AC013437.1,0,0,0,0
AC096558.1,0,0,0,0
AC096558.2,0,0,0,0
AC079793.1,0,0,0,0
AC092652.1,0,0,0,0
AC092652.2,0,0,0,0
AC079584.2,0,0,0,0
AC079584.1,0,0,0,0
AC016910.1,0,0,0,0
GTDC1,1776,1424,786,114
ZEB2,8055,5802,6226,2924
AC009951.2,0,0,0,0
ZEB2-AS1,0,0,0,0
LINC01412,0,0,0,0
TEX41,0,52,16,12
AC023128.1,0,0,0,0
LINC01966,0,0,0,0
AC096666.1,0,0,0,0
AC092484.1,0,0,0,0
AC079163.1,0,0,0,0
AC062031.1,0,0,0,0
LINC01911,0,0,0,0
AC062032.1,0,0,0,0
ACVR2A,546,456,453,1167
AC009480.1,0,0,0,0
ORC4,804,1577,1267,1538
MBD5,1594,130,1074,2
EPC2,885,754,350,1
AC105402.3,0,0,0,0
KIF5C,0,0,280,0
LYPD6B,1020,55,242,0
LYPD6,0,198,7,61
MMADHC,10745,9681,11167,4337
AC007364.1,0,1,1,0
LINC01931,0,0,0,0
LINC01818,0,0,0,0
LINC01817,0,0,0,0
RND3,31866,31934,37635,17154
LINC01920,0,0,0,0
AC104777.3,0,0,0,0
AC104777.2,0,0,0,0
AC104777.1,0,1,0,0
AC023469.2,0,0,0,0
AC023469.1,0,0,0,0
AC018731.1,0,0,0,0
RBM43,49,202,136,28
NMI,153,169,326,1
TNFAIP6,3696,886,1720,11
RIF1,1522,1696,3307,684
NEB,1307,1338,1899,650
ARL5A,1303,1742,2141,2753
AC068547.1,0,0,0,0
CACNB4,869,1416,2220,476
AC079790.1,0,0,0,0
STAM2,1376,2077,1945,2104
FMNL2,3205,2900,2794,2262
PRPF40A,8271,4481,5785,1884
ARL6IP6,1124,496,621,2
AC079150.1,0,0,0,0
LINC01850,0,0,0,0
RPRM,0,0,41,0
GALNT13,0,3,0,18
AC009227.1,0,5,0,0
AC009227.2,0,0,0,0
AC061961.1,0,0,0,0
KCNJ3,0,0,0,0
AC092625.1,0,0,0,0
LINC01876,0,0,0,0
AC074099.1,0,0,0,0
NR4A2,10,2084,138,0
GPD2,2573,1030,2392,424
LINC01958,0,0,0,0
GALNT5,3912,3026,6942,2353
ERMN,0,1,0,0
CYTIP,572,7,1,0
ACVR1C,0,0,0,98
AC019186.1,0,0,0,0
ACVR1,2423,1777,2321,3422
UPP2,0,0,0,0
AC013731.1,0,0,0,0
AC091488.1,0,0,0,0
CCDC148-AS1,0,0,0,0
CCDC148,0,0,73,0
PKP4,651,807,193,6738
PKP4-AS1,0,0,80,0
AC005042.2,0,0,0,0
DAPL1,0,9,9,0
TANC1,1677,531,776,563
WDSUB1,1859,153,482,0
BAZ2B,1648,1011,2798,1062
AC008277.1,2,4,0,0
AC009506.1,2,0,0,0
AC009961.1,0,0,0,0
MARCH7,4912,2285,2488,344
CD302,258,17,0,0
LY75-CD302,0,0,0,0
LY75,0,203,0,0
PLA2R1,1550,1118,2317,407
ITGB6,1801,109,515,0
LINC02478,0,0,0,0
RBMS1,2580,3443,4260,1316
AC009313.1,0,0,0,0
TANK,817,577,1454,85
AC009299.3,0,0,0,0
LINC01806,0,0,0,0
PSMD14,3264,6453,5326,4271
TBR1,0,0,0,0
AC009487.1,0,0,0,0
SLC4A10,0,0,0,0
DPP4,15316,11476,15503,8605
AC008063.1,0,0,32,126
AC008063.2,0,0,0,0
GCG,0,0,0,0
AC007750.1,1209,9,1,0
FAP,10914,8144,10970,1826
IFIH1,0,236,76,0
GCA,0,52,137,0
KCNH7,0,0,0,0
AC011900.1,0,0,0,0
FIGN,17,236,227,0
AC016766.1,0,0,0,0
GRB14,73,278,9,0
COBLL1,559,24,172,0
AC019197.1,0,0,0,0
SLC38A11,0,0,0,0
SCN3A,0,237,143,0
SCN2A,1,26,52,0
CSRNP3,47,0,0,0
GALNT3,0,16,0,0
AC009495.3,0,0,0,0
AC009495.1,0,0,0,0
AC009495.2,0,0,0,0
TTC21B,50,53,966,33
AC010127.1,3,0,0,0
SCN1A,0,0,0,0
SCN9A,170,206,584,2
SCN7A,0,0,0,0
XIRP2,46,2,0,0
XIRP2-AS1,0,0,0,0
AC073050.1,0,0,0,0
AC016723.1,0,0,0,0
B3GALT1,8,34,0,0
STK39,911,1887,1032,1486
CERS6,562,1399,2197,3549
NOSTRIN,0,7,0,0
SPC25,1,189,14,0
G6PC2,0,0,0,0
ABCB11,0,0,0,0
DHRS9,0,0,38,0
AC007556.1,0,0,0,0
LRP2,0,0,0,0
BBS5,1815,514,427,359
AC093899.2,0,0,0,0
KLHL41,2100,1525,732,797
FASTKD1,57,570,825,315
PPIG,3723,2781,2564,2664
CCDC173,5,0,0,0
PHOSPHO2,1,282,133,0
KLHL23,0,5,0,0
SSB,1272,2048,1454,1668
METTL5,634,1768,745,49
UBR3,969,2420,1585,2811
MYO3B,0,0,0,0
AC012594.1,0,0,0,0
AC007277.1,0,1,0,0
LINC01124,0,0,0,0
SP5,0,0,0,0
AC007405.1,4,0,0,0
AC007405.3,0,40,0,0
ERICH2,0,0,0,0
GAD1,0,48,3,0
AC007405.2,0,0,0,0
GORASP2,1543,2409,4226,3683
TLK1,16170,8039,10635,7788
METTL8,1399,2447,2125,597
DCAF17,1405,616,624,477
CYBRD1,19430,14583,18789,16449
DYNC1I2,3733,3252,2703,3445
SLC25A12,325,1708,793,633
HAT1,3297,2316,3584,2561
METAP1D,70,137,23,0
DLX1,9,20,85,0
DLX2,0,11,0,0
DLX2-DT,0,0,0,0
AC104088.1,0,0,0,0
ITGA6,2188,1816,709,784
AC078883.2,0,0,325,0
AC078883.3,0,0,0,0
AC078883.1,477,1,0,0
PDK1,150,308,212,59
RAPGEF4-AS1,0,0,0,0
RAPGEF4,0,0,0,0
MAP3K20,11857,9920,11441,15582
MAP3K20-AS1,0,0,0,0
CDCA7,0,2,0,0
AC106900.2,0,0,0,0
AC106900.1,0,0,0,0
SP3,1153,1158,3058,287
AC016737.1,0,10,0,0
AC016737.2,0,0,0,0
LINC01960,0,0,0,0
OLA1,3006,2202,3588,1690
LINC01305,0,19,0,0
SP9,0,0,0,0
CIR1,281,578,623,77
SCRN3,3,147,743,0
GPR155,199,595,613,1170
AC010894.2,0,0,0,0
AC010894.3,0,0,0,0
WIPF1,1494,675,361,4657
AC010894.4,0,0,0,0
CHRNA1,1687,1698,2708,1365
CHN1,2824,1745,942,278
ATF2,1296,848,928,371
AC096649.1,0,0,0,0
ATP5MC3,12254,9287,13707,5641
AC093459.1,0,0,0,0
AC016751.2,0,0,0,0
AC016751.1,0,0,0,0
LNPK,2215,1710,3157,382
EVX2,0,0,0,0
HOXD13,0,0,0,0
HOXD12,0,0,0,0
HOXD11,0,0,0,0
HOXD10,0,0,0,0
HOXD-AS2,77,14,30,0
HOXD9,0,101,0,0
HOXD8,585,517,357,308
HOXD3,0,88,0,0
AC009336.2,0,0,0,0
HOXD4,0,0,0,0
